cat,year,type,count,killed
1,1970,1,21,0
1,1970,6,33,0
1,1970,3,332,0
1,1970,7,174,0
1,1970,2,61,0
1,1970,4,11,0
1,1970,9,5,0
1,1970,8,3,0
1,1970,5,3,0
1,1971,7,88,0
1,1971,3,234,0
1,1971,6,18,0
1,1971,1,70,0
1,1971,2,43,0
1,1971,4,6,0
1,1971,9,3,0
1,1971,5,1,0
1,1972,3,185,0
1,1972,6,16,0
1,1972,2,63,0
1,1972,1,252,0
1,1972,7,18,0
1,1972,4,12,0
1,1972,5,4,0
1,1972,9,1,0
1,1973,1,162,0
1,1973,2,61,0
1,1973,6,39,0
1,1973,3,148,0
1,1973,7,36,0
1,1973,5,7,0
1,1973,8,3,0
1,1973,9,1,0
1,1973,4,8,0
1,1974,6,35,0
1,1974,3,285,0
1,1974,1,158,0
1,1974,7,42,0
1,1974,2,44,0
1,1974,4,3,0
1,1974,5,5,0
1,1974,8,4,0
1,1974,9,1,0
1,1975,3,367,0
1,1975,2,77,0
1,1975,1,180,0
1,1975,5,13,0
1,1975,7,63,0
1,1975,6,23,0
1,1975,4,1,0
1,1975,9,3,0
1,1976,9,5,0
1,1976,3,414,0
1,1976,2,119,0
1,1976,1,203,0
1,1976,7,111,0
1,1976,6,36,0
1,1976,8,2,0
1,1976,4,4,0
1,1976,5,6,0
1,1977,3,622,0
1,1977,1,142,0
1,1977,6,61,0
1,1977,7,182,0
1,1977,2,251,0
1,1977,9,14,0
1,1977,5,13,0
1,1977,4,7,0
1,1978,6,82,0
1,1978,7,171,0
1,1978,3,626,0
1,1978,1,252,0
1,1978,5,41,0
1,1978,2,230,0
1,1978,8,5,0
1,1978,9,48,0
1,1979,9,169,0
1,1979,3,1015,0
1,1979,6,138,0
1,1979,1,512,0
1,1979,2,416,0
1,1979,5,75,0
1,1979,7,192,0
1,1979,4,9,0
1,1979,8,7,0
1,1980,3,965,0
1,1980,1,598,0
1,1980,2,549,0
1,1980,5,50,0
1,1980,9,89,0
1,1980,6,129,0
1,1980,7,165,0
1,1980,4,13,0
1,1980,8,2,0
1,1981,1,394,0
1,1981,6,115,0
1,1981,3,1058,0
1,1981,2,650,0
1,1981,7,138,0
1,1981,9,65,0
1,1981,8,2,0
1,1981,5,30,0
1,1981,4,18,0
1,1982,3,1080,0
1,1982,9,68,0
1,1982,7,143,0
1,1982,5,50,0
1,1982,2,611,0
1,1982,6,95,0
1,1982,1,351,0
1,1982,4,7,0
1,1982,8,3,0
1,1983,3,1191,0
1,1983,7,138,0
1,1983,9,103,0
1,1983,1,343,0
1,1983,2,746,0
1,1983,5,26,0
1,1983,6,114,0
1,1983,4,7,0
1,1983,8,2,0
1,1984,1,411,0
1,1984,3,1696,0
1,1984,2,697,0
1,1984,5,26,0
1,1984,7,155,0
1,1984,9,127,0
1,1984,6,67,0
1,1984,4,13,0
1,1984,8,6,0
1,1985,3,1405,0
1,1985,9,114,0
1,1985,2,559,0
1,1985,7,133,0
1,1985,1,292,0
1,1985,6,110,0
1,1985,5,51,0
1,1985,4,13,0
1,1985,8,3,0
1,1986,3,1455,0
1,1986,2,509,0
1,1986,1,356,0
1,1986,5,27,0
1,1986,6,84,0
1,1986,8,5,0
1,1986,7,137,0
1,1986,9,103,0
1,1986,4,3,0
1,1987,9,151,0
1,1987,3,1397,0
1,1987,2,729,0
1,1987,1,480,0
1,1987,7,117,0
1,1987,6,86,0
1,1987,5,24,0
1,1987,8,2,0
1,1987,4,2,0
1,1988,3,1585,0
1,1988,2,813,0
1,1988,1,766,0
1,1988,6,93,0
1,1988,9,35,0
1,1988,7,150,0
1,1988,5,15,0
1,1988,8,5,0
1,1988,4,8,0
1,1989,7,233,0
1,1989,1,942,0
1,1989,2,1031,0
1,1989,3,1762,0
1,1989,6,125,0
1,1989,5,18,0
1,1989,9,17,0
1,1989,8,6,0
1,1989,4,13,0
1,1990,6,152,0
1,1990,3,1635,0
1,1990,1,843,0
1,1990,2,795,0
1,1990,7,181,0
1,1990,9,12,0
1,1990,5,16,0
1,1990,4,8,0
1,1990,8,6,0
1,1991,1,705,0
1,1991,2,1155,0
1,1991,3,1880,0
1,1991,7,344,0
1,1991,6,206,0
1,1991,5,14,0
1,1991,4,23,0
1,1991,9,63,0
1,1991,8,14,0
1,1992,1,1064,0
1,1992,2,1228,0
1,1992,3,1667,0
1,1992,7,466,0
1,1992,9,183,0
1,1992,8,46,0
1,1992,6,133,0
1,1992,5,21,0
1,1992,4,23,0
1,1993,1,1,0
1,1994,3,857,0
1,1994,1,572,0
1,1994,9,181,0
1,1994,7,122,0
1,1994,5,28,0
1,1994,2,601,0
1,1994,8,44,0
1,1994,6,145,0
1,1994,4,27,0
1,1995,7,276,0
1,1995,1,716,0
1,1995,3,730,0
1,1995,9,204,0
1,1995,2,720,0
1,1995,4,30,0
1,1995,6,126,0
1,1995,8,105,0
1,1995,5,13,0
1,1996,3,1188,0
1,1996,1,473,0
1,1996,2,599,0
1,1996,7,215,0
1,1996,9,239,0
1,1996,4,20,0
1,1996,6,140,0
1,1996,5,12,0
1,1996,8,23,0
1,1997,2,748,0
1,1997,7,137,0
1,1997,3,1085,0
1,1997,1,398,0
1,1997,9,319,0
1,1997,4,16,0
1,1997,6,268,0
1,1997,8,24,0
1,1997,5,3,0
1,1998,2,240,0
1,1998,3,496,0
1,1998,7,56,0
1,1998,9,20,0
1,1998,1,24,0
1,1998,6,41,0
1,1998,8,11,0
1,1998,4,3,0
1,1999,2,353,0
1,1999,3,639,0
1,1999,1,60,0
1,1999,8,34,0
1,1999,6,98,0
1,1999,7,108,0
1,1999,5,6,0
1,1999,4,6,0
1,1999,9,36,0
1,2000,2,489,0
1,2000,6,113,0
1,2000,3,892,0
1,2000,7,110,0
1,2000,9,43,0
1,2000,8,25,0
1,2000,1,100,0
1,2000,4,7,0
1,2000,5,3,0
1,2001,9,41,0
1,2001,3,798,0
1,2001,6,140,0
1,2001,7,147,0
1,2001,2,580,0
1,2001,1,125,0
1,2001,4,14,0
1,2001,8,41,0
1,2001,5,4,0
1,2002,3,708,0
1,2002,2,363,0
1,2002,6,75,0
1,2002,7,49,0
1,2002,1,72,0
1,2002,4,6,0
1,2002,9,23,0
1,2002,8,9,0
1,2002,5,4,0
1,2003,2,312,0
1,2003,3,685,0
1,2003,7,87,0
1,2003,6,44,0
1,2003,1,86,0
1,2003,9,26,0
1,2003,8,19,0
1,2003,4,3,0
1,2003,5,1,0
1,2004,6,67,0
1,2004,3,657,0
1,2004,2,249,0
1,2004,1,99,0
1,2004,9,25,0
1,2004,7,32,0
1,2004,8,4,0
1,2004,5,3,0
1,2004,4,1,0
1,2005,3,1051,0
1,2005,2,505,0
1,2005,9,38,0
1,2005,1,225,0
1,2005,7,49,0
1,2005,6,108,0
1,2005,4,2,0
1,2005,8,6,0
1,2006,7,104,0
1,2006,3,1489,0
1,2006,2,727,0
1,2006,1,139,0
1,2006,6,197,0
1,2006,9,38,0
1,2006,8,15,0
1,2006,5,6,0
1,2006,4,1,0
1,2007,6,216,0
1,2007,3,1852,0
1,2007,7,107,0
1,2007,9,29,0
1,2007,2,836,0
1,2007,1,139,0
1,2007,4,7,0
1,2007,8,5,0
1,2007,5,6,0
1,2008,2,1077,0
1,2008,3,2646,0
1,2008,1,219,0
1,2008,6,377,0
1,2008,7,283,0
1,2008,9,103,0
1,2008,5,5,0
1,2008,4,14,0
1,2008,8,31,0
1,2009,3,2563,0
1,2009,2,1115,0
1,2009,8,19,0
1,2009,1,228,0
1,2009,9,134,0
1,2009,6,274,0
1,2009,7,347,0
1,2009,5,4,0
1,2009,4,23,0
1,2010,3,2509,0
1,2010,6,390,0
1,2010,2,1112,0
1,2010,1,359,0
1,2010,7,292,0
1,2010,9,115,0
1,2010,4,13,0
1,2010,5,8,0
1,2010,8,21,0
1,2011,3,2578,0
1,2011,1,342,0
1,2011,7,240,0
1,2011,2,1388,0
1,2011,6,361,0
1,2011,4,9,0
1,2011,9,111,0
1,2011,8,20,0
1,2011,5,2,0
1,2012,3,5058,0
1,2012,2,2078,0
1,2012,6,346,0
1,2012,1,458,0
1,2012,7,307,0
1,2012,9,176,0
1,2012,4,5,0
1,2012,8,30,0
1,2012,5,18,0
1,2013,3,6642,0
1,2013,2,2938,0
1,2013,1,847,0
1,2013,6,611,0
1,2013,7,562,0
1,2013,8,39,0
1,2013,9,250,0
1,2013,5,25,0
1,2013,4,16,0
1,2014,3,8750,0
1,2014,6,1378,0
1,2014,2,4059,0
1,2014,9,771,0
1,2014,1,913,0
1,2014,7,779,0
1,2014,5,46,0
1,2014,8,53,0
1,2014,4,48,0
1,2015,3,7636,0
1,2015,7,698,0
1,2015,1,926,0
1,2015,2,3359,0
1,2015,6,1153,0
1,2015,9,884,0
1,2015,5,82,0
1,2015,4,37,0
1,2015,8,95,0
1,2016,3,7116,0
1,2016,6,1118,0
1,2016,2,2725,0
1,2016,8,73,0
1,2016,7,692,0
1,2016,1,822,0
1,2016,9,919,0
1,2016,5,62,0
1,2016,4,43,0
1,2017,2,2372,0
1,2017,3,5031,0
1,2017,9,826,0
1,2017,6,894,0
1,2017,1,818,0
1,2017,4,58,0
1,2017,8,100,0
1,2017,7,754,0
1,2017,5,82,0
1,2018,3,3518,0
1,2018,1,795,0
1,2018,2,2524,0
1,2018,9,966,0
1,2018,6,941,0
1,2018,7,654,0
1,2018,8,80,0
1,2018,5,55,0
1,2018,4,28,0
2,1970,14,57,0
2,1970,7,54,0
2,1970,10,8,0
2,1970,3,81,0
2,1970,21,16,0
2,1970,4,85,0
2,1970,2,78,0
2,1970,6,24,0
2,1970,1,134,0
2,1970,8,62,0
2,1970,22,1,0
2,1970,15,13,0
2,1970,20,4,0
2,1970,19,2,0
2,1970,18,2,0
2,1970,12,8,0
2,1970,16,7,0
2,1970,9,2,0
2,1970,17,4,0
2,1970,13,1,0
2,1971,14,23,0
2,1971,3,38,0
2,1971,4,102,0
2,1971,12,2,0
2,1971,7,35,0
2,1971,8,39,0
2,1971,1,128,0
2,1971,2,45,0
2,1971,6,10,0
2,1971,10,12,0
2,1971,21,10,0
2,1971,15,4,0
2,1971,17,1,0
2,1971,22,2,0
2,1971,19,4,0
2,1971,18,3,0
2,1971,16,3,0
2,1971,11,2,0
2,1972,6,21,0
2,1972,1,76,0
2,1972,14,146,0
2,1972,4,143,0
2,1972,2,27,0
2,1972,3,26,0
2,1972,7,68,0
2,1972,12,5,0
2,1972,8,6,0
2,1972,19,3,0
2,1972,18,4,0
2,1972,11,1,0
2,1972,21,7,0
2,1972,17,12,0
2,1972,10,5,0
2,1972,22,1,0
2,1973,14,125,0
2,1973,4,89,0
2,1973,1,80,0
2,1973,2,22,0
2,1973,3,29,0
2,1973,13,3,0
2,1973,8,5,0
2,1973,15,2,0
2,1973,7,57,0
2,1973,6,20,0
2,1973,17,19,0
2,1973,11,3,0
2,1973,21,4,0
2,1973,12,2,0
2,1973,19,2,0
2,1973,10,3,0
2,1974,2,35,0
2,1974,1,176,0
2,1974,6,20,0
2,1974,4,60,0
2,1974,19,7,0
2,1974,14,130,0
2,1974,7,58,0
2,1974,3,41,0
2,1974,15,7,0
2,1974,11,2,0
2,1974,10,9,0
2,1974,21,5,0
2,1974,17,15,0
2,1974,8,3,0
2,1974,12,3,0
2,1974,20,2,0
2,1974,16,4,0
2,1975,6,18,0
2,1975,14,134,0
2,1975,1,202,0
2,1975,7,70,0
2,1975,3,69,0
2,1975,10,16,0
2,1975,4,47,0
2,1975,2,63,0
2,1975,15,8,0
2,1975,17,29,0
2,1975,8,5,0
2,1975,21,19,0
2,1975,18,4,0
2,1975,12,3,0
2,1975,19,25,0
2,1975,22,3,0
2,1975,9,2,0
2,1975,13,2,0
2,1975,11,3,0
2,1975,16,3,0
2,1975,20,2,0
2,1976,4,92,0
2,1976,2,103,0
2,1976,7,107,0
2,1976,3,83,0
2,1976,10,25,0
2,1976,14,155,0
2,1976,1,209,0
2,1976,19,15,0
2,1976,11,5,0
2,1976,15,7,0
2,1976,22,13,0
2,1976,6,42,0
2,1976,21,9,0
2,1976,12,2,0
2,1976,8,14,0
2,1976,17,13,0
2,1976,20,3,0
2,1976,18,2,0
2,1976,16,1,0
2,1977,8,31,0
2,1977,1,401,0
2,1977,10,52,0
2,1977,4,82,0
2,1977,16,12,0
2,1977,14,218,0
2,1977,6,30,0
2,1977,17,9,0
2,1977,2,177,0
2,1977,7,60,0
2,1977,19,40,0
2,1977,22,10,0
2,1977,3,107,0
2,1977,21,36,0
2,1977,20,7,0
2,1977,13,1,0
2,1977,5,4,0
2,1977,15,10,0
2,1977,18,4,0
2,1977,9,1,0
2,1978,14,134,0
2,1978,1,415,0
2,1978,2,230,0
2,1978,22,13,0
2,1978,15,15,0
2,1978,21,33,0
2,1978,7,59,0
2,1978,17,18,0
2,1978,10,56,0
2,1978,19,35,0
2,1978,3,222,0
2,1978,6,35,0
2,1978,5,6,0
2,1978,4,108,0
2,1978,8,35,0
2,1978,9,5,0
2,1978,12,4,0
2,1978,16,16,0
2,1978,20,9,0
2,1978,13,1,0
2,1978,18,5,0
2,1978,11,1,0
2,1979,10,84,0
2,1979,1,574,0
2,1979,2,456,0
2,1979,15,40,0
2,1979,3,299,0
2,1979,4,208,0
2,1979,14,370,0
2,1979,19,94,0
2,1979,8,54,0
2,1979,22,11,0
2,1979,21,25,0
2,1979,6,65,0
2,1979,17,18,0
2,1979,7,88,0
2,1979,16,30,0
2,1979,18,16,0
2,1979,20,83,0
2,1979,12,8,0
2,1979,5,1,0
2,1979,11,8,0
2,1979,9,1,0
2,1980,2,355,0
2,1980,1,563,0
2,1980,14,415,0
2,1980,4,260,0
2,1980,10,116,0
2,1980,7,128,0
2,1980,8,114,0
2,1980,6,63,0
2,1980,3,251,0
2,1980,15,49,0
2,1980,17,26,0
2,1980,21,37,0
2,1980,19,109,0
2,1980,22,20,0
2,1980,20,27,0
2,1980,12,6,0
2,1980,9,4,0
2,1980,18,8,0
2,1980,5,3,0
2,1980,16,6,0
2,1981,17,24,0
2,1981,14,380,0
2,1981,16,32,0
2,1981,1,386,0
2,1981,20,16,0
2,1981,7,119,0
2,1981,6,67,0
2,1981,2,280,0
2,1981,21,153,0
2,1981,3,250,0
2,1981,10,59,0
2,1981,4,461,0
2,1981,15,30,0
2,1981,19,125,0
2,1981,9,9,0
2,1981,8,57,0
2,1981,22,7,0
2,1981,11,4,0
2,1981,18,7,0
2,1981,12,4,0
2,1982,7,107,0
2,1982,2,232,0
2,1982,21,186,0
2,1982,14,434,0
2,1982,10,58,0
2,1982,4,382,0
2,1982,3,224,0
2,1982,1,371,0
2,1982,15,34,0
2,1982,17,28,0
2,1982,19,118,0
2,1982,6,39,0
2,1982,22,7,0
2,1982,16,52,0
2,1982,20,53,0
2,1982,5,7,0
2,1982,8,51,0
2,1982,12,4,0
2,1982,11,2,0
2,1982,9,12,0
2,1982,18,7,0
2,1983,2,249,0
2,1983,6,46,0
2,1983,19,131,0
2,1983,15,41,0
2,1983,14,451,0
2,1983,21,146,0
2,1983,4,687,0
2,1983,1,379,0
2,1983,3,289,0
2,1983,10,58,0
2,1983,22,3,0
2,1983,17,14,0
2,1983,8,37,0
2,1983,7,84,0
2,1983,16,21,0
2,1983,20,14,0
2,1983,9,6,0
2,1983,12,7,0
2,1983,11,3,0
2,1983,5,3,0
2,1983,18,1,0
2,1984,14,547,0
2,1984,21,321,0
2,1984,3,291,0
2,1984,4,576,0
2,1984,1,491,0
2,1984,10,65,0
2,1984,19,221,0
2,1984,2,291,0
2,1984,11,29,0
2,1984,7,93,0
2,1984,15,58,0
2,1984,5,27,0
2,1984,8,51,0
2,1984,6,30,0
2,1984,20,21,0
2,1984,17,20,0
2,1984,16,24,0
2,1984,12,9,0
2,1984,9,11,0
2,1984,22,17,0
2,1984,18,5,0
2,1985,4,517,0
2,1985,3,297,0
2,1985,20,19,0
2,1985,19,148,0
2,1985,2,300,0
2,1985,14,353,0
2,1985,7,62,0
2,1985,5,14,0
2,1985,21,321,0
2,1985,22,3,0
2,1985,1,400,0
2,1985,8,43,0
2,1985,10,55,0
2,1985,11,11,0
2,1985,15,28,0
2,1985,9,17,0
2,1985,13,1,0
2,1985,6,52,0
2,1985,17,15,0
2,1985,12,9,0
2,1985,16,14,0
2,1985,18,1,0
2,1986,15,39,0
2,1986,4,397,0
2,1986,21,204,0
2,1986,19,150,0
2,1986,14,469,0
2,1986,2,345,0
2,1986,20,21,0
2,1986,10,35,0
2,1986,1,509,0
2,1986,3,284,0
2,1986,7,75,0
2,1986,17,18,0
2,1986,12,5,0
2,1986,8,41,0
2,1986,6,33,0
2,1986,22,3,0
2,1986,5,13,0
2,1986,9,17,0
2,1986,18,5,0
2,1986,16,15,0
2,1986,11,1,0
2,1987,3,324,0
2,1987,14,490,0
2,1987,4,441,0
2,1987,19,189,0
2,1987,1,491,0
2,1987,2,498,0
2,1987,21,203,0
2,1987,6,19,0
2,1987,10,88,0
2,1987,7,46,0
2,1987,5,11,0
2,1987,20,9,0
2,1987,8,35,0
2,1987,12,10,0
2,1987,17,37,0
2,1987,11,9,0
2,1987,18,7,0
2,1987,15,41,0
2,1987,22,14,0
2,1987,16,20,0
2,1987,9,4,0
2,1987,13,2,0
2,1988,21,246,0
2,1988,14,561,0
2,1988,4,528,0
2,1988,1,496,0
2,1988,19,211,0
2,1988,3,452,0
2,1988,2,589,0
2,1988,7,58,0
2,1988,15,50,0
2,1988,9,5,0
2,1988,22,60,0
2,1988,17,28,0
2,1988,8,50,0
2,1988,10,67,0
2,1988,5,7,0
2,1988,6,21,0
2,1988,20,2,0
2,1988,11,7,0
2,1988,12,14,0
2,1988,16,15,0
2,1988,18,3,0
2,1989,10,86,0
2,1989,14,732,0
2,1989,15,64,0
2,1989,4,618,0
2,1989,3,517,0
2,1989,7,69,0
2,1989,20,8,0
2,1989,2,643,0
2,1989,1,624,0
2,1989,21,249,0
2,1989,12,13,0
2,1989,16,29,0
2,1989,19,219,0
2,1989,8,105,0
2,1989,22,66,0
2,1989,9,10,0
2,1989,17,33,0
2,1989,11,13,0
2,1989,6,31,0
2,1989,18,9,0
2,1989,5,8,0
2,1989,13,1,0
2,1990,10,52,0
2,1990,2,492,0
2,1990,1,512,0
2,1990,19,237,0
2,1990,15,104,0
2,1990,3,514,0
2,1990,14,721,0
2,1990,4,399,0
2,1990,17,29,0
2,1990,8,74,0
2,1990,21,312,0
2,1990,18,9,0
2,1990,7,57,0
2,1990,6,22,0
2,1990,22,57,0
2,1990,12,7,0
2,1990,16,21,0
2,1990,9,14,0
2,1990,11,3,0
2,1990,20,3,0
2,1990,13,1,0
2,1990,5,8,0
2,1991,14,646,0
2,1991,4,657,0
2,1991,21,319,0
2,1991,3,528,0
2,1991,1,896,0
2,1991,2,508,0
2,1991,6,63,0
2,1991,19,197,0
2,1991,7,150,0
2,1991,22,73,0
2,1991,15,102,0
2,1991,12,22,0
2,1991,17,47,0
2,1991,8,50,0
2,1991,16,17,0
2,1991,10,73,0
2,1991,18,24,0
2,1991,9,7,0
2,1991,5,12,0
2,1991,11,11,0
2,1991,20,2,0
2,1992,1,819,0
2,1992,2,584,0
2,1992,14,910,0
2,1992,10,94,0
2,1992,8,85,0
2,1992,3,744,0
2,1992,19,283,0
2,1992,7,187,0
2,1992,18,16,0
2,1992,4,510,0
2,1992,17,62,0
2,1992,15,127,0
2,1992,11,20,0
2,1992,21,135,0
2,1992,5,18,0
2,1992,12,22,0
2,1992,22,77,0
2,1992,6,63,0
2,1992,16,37,0
2,1992,20,29,0
2,1992,9,9,0
2,1993,5,1,0
2,1994,6,28,0
2,1994,7,86,0
2,1994,3,289,0
2,1994,2,350,0
2,1994,14,595,0
2,1994,19,130,0
2,1994,1,398,0
2,1994,15,68,0
2,1994,4,248,0
2,1994,12,23,0
2,1994,22,77,0
2,1994,10,64,0
2,1994,21,34,0
2,1994,8,56,0
2,1994,17,35,0
2,1994,16,10,0
2,1994,18,26,0
2,1994,20,24,0
2,1994,9,2,0
2,1994,11,16,0
2,1994,13,2,0
2,1994,5,16,0
2,1995,5,24,0
2,1995,4,220,0
2,1995,15,75,0
2,1995,1,384,0
2,1995,21,50,0
2,1995,19,199,0
2,1995,10,74,0
2,1995,2,365,0
